No,"Age, sec","Temp, °C","pH, -","pO?, %","O?, %","CO?, %",OD
1,3390,23.80571429,8.48475,44.80851852,5.22,82.01203704,0.60582
2,3450,23.81,8.452533333,44.9175,5.700222222,81.86363636,0.607666667
3,3510,23.805,8.4337,45.13606061,6.027058824,80.10981481,0.600677419
4,3570,23.805,8.42,45.43451613,6.390196078,81.26692308,0.603348837
5,3630,23.81,8.3945,45.90972973,7.007692308,81.16153846,0.602763636
6,3690,23.81,8.3715,46.34806452,7.615333333,81.09833333,0.604773585
7,3750,23.81,8.3505,46.74740741,8.182909091,80.76846154,0.603351852
8,3810,23.81,8.3335,47.06321429,8.92490566,79.95297872,0.606439024
9,3870,23.80666667,8.3195,47.42806452,9.629433962,78.28708333,0.606615385
10,3930,23.81,8.306,47.75966667,10.25627451,77.2914,0.602348837
11,3990,23.814,8.295,48.03541667,10.85584906,76.21680851,0.603411765
12,4050,23.815,8.2855,48.25333333,11.39653061,75.43938776,0.601681818
13,4110,23.81461538,8.276,48.4676,11.93647059,74.37166667,0.600829787
14,4170,23.81538462,8.2685,48.68130435,12.45956522,73.11388889,0.601844444
15,4230,23.815,8.263,48.88730769,12.95714286,71.07461538,0.601767442
16,4290,23.81444444,8.2585,49.1903125,13.4473913,69.45803922,0.600521739
17,4350,23.815,8.255,49.52833333,13.92695652,67.40886792,0.602921569
18,4410,23.815,8.2515,49.85821429,14.37365854,66.20301887,0.603957447
19,4470,23.81555556,8.248,50.17733333,14.785,64.7814,0.601088889
20,4530,23.81428571,8.2448,50.4565,15.165,64.02977273,0.6005
21,4590,23.815,8.2425,50.7825,15.51,62.98941176,0.6
22,4650,23.81666667,8.2405,51.28441176,15.84,62.01207547,0.601205128
23,4710,23.825,8.2392,51.66956522,16.16,60.88911111,0.600902439
24,4770,23.825,8.237333333,51.99410256,16.465,59.95673469,0.599864865
25,4830,23.825,8.2365,52.48088235,16.76071429,58.952,0.599294118
26,4890,23.825,8.235666667,52.77214286,17.055,57.86204082,0.600666667
27,4950,23.825,8.235,52.9732,17.345,57.07163265,0.600046512
28,5010,23.82538462,8.2345,53.3984375,17.625,55.93166667,0.600487179
29,5070,23.82454545,8.234,53.83454545,17.89692308,54.88219512,0.602536585
30,5130,23.82555556,8.2335,54.20741935,18.165,53.871875,0.60075
31,5190,23.82666667,8.233,54.69085714,18.41,52.87622222,0.600488372
32,5250,23.82545455,8.232666667,55.01647059,18.655,52.00340909,0.601244444
33,5310,23.82666667,8.2325,55.46617647,18.9,51.13065217,0.600585366
34,5370,23.83,8.232,55.97342105,19.13,50.28333333,0.599955556
35,5430,23.83,8.232333333,56.49052632,19.36,49.31490196,0.599388889
36,5490,23.83333333,8.232,57.14853659,19.59,48.32159091,0.6
37,5550,23.83,8.232,57.69,19.815,47.61431373,0.600410256
38,5610,23.83333333,8.23225,57.935625,20.04,46.42675,0.600555556
39,5670,23.83545455,8.232,58.39972222,20.26,45.65446809,0.601642857
40,5730,23.835,8.232333333,58.93322581,20.475,44.58904762,0.601263158
41,5790,23.835,8.232,59.42395349,20.69,43.80019608,0.600512195
42,5850,23.836,8.2325,59.79228571,20.895,42.864,0.600409091
43,5910,23.83461538,8.232444444,60.11416667,21.095,41.85745098,0.602285714
44,5970,23.836,8.23275,60.72459459,21.295,41.1188,0.601923077
45,6030,23.83555556,8.233,61.457,21.49058824,40.19880952,0.600181818
46,6090,23.84,8.233333333,62.112,21.68,39.34116279,0.600681818
47,6150,23.83666667,8.2336,62.62107143,21.865,38.64647059,0.600257143
48,6210,23.84142857,8.23375,62.95323529,22.045,37.83866667,0.600044444
49,6270,23.84,8.234,63.73608696,22.22,37.03324324,0.599605263
50,6330,23.84,8.2345,64.53138889,22.39,36.18770833,0.601
51,6390,23.84142857,8.234666667,64.94896552,22.555,35.38222222,0.602225
52,6450,23.84333333,8.2354,65.33513514,22.715,34.68333333,0.607042553
53,6510,23.84333333,8.236,66.10520833,22.875,33.90727273,0.606591837
54,6570,23.84571429,8.2365,67.14361702,23.03,33.148125,0.605122449
55,6630,23.8475,8.237,67.94972222,23.18,32.48369565,0.60164
56,6690,23.85,8.2376,68.32648649,23.33,31.72431818,0.601490196
57,6750,23.85,8.238,68.82775,23.47,31.09853659,0.603690476
58,6810,23.85,8.2386,69.214,23.605,30.52829787,0.601787234
59,6870,23.85333333,8.239,69.623,23.74,29.8034,0.602681818
60,6930,23.85454545,8.24025,70.05277778,23.875,29.23117647,0.600885714
61,6990,23.85555556,8.241,70.63054054,24.005,28.72589744,0.602755102
62,7050,23.85571429,8.2415,71.13534884,24.13,28.18139535,0.600901961
63,7110,23.86,8.242333333,71.32085714,24.25,27.56136364,0.601170213
64,7170,23.86428571,8.243,71.77105263,24.365,27.07264706,0.602977273
65,7230,23.865,8.2436,72.13794872,24.475,26.50439024,0.600268293
66,7290,23.865,8.245,72.44666667,24.58,26.03897436,0.601844444
67,7350,23.865,8.245666667,72.76545455,24.685,25.62416667,0.602595745
68,7410,23.86666667,8.247,73.15166667,24.78,25.11690476,0.599978261
69,7470,23.87,8.248,73.41083333,24.875,24.57878788,0.602088889
70,7530,23.875,8.2486,73.80589744,24.97,24.19540541,0.602933333
71,7590,23.875,8.2495,74.6135,25.065,23.75054054,0.603782609
72,7650,23.875,8.25,75.33230769,25.155,23.33216216,0.604408163
73,7710,23.88,8.2515,75.8690625,25.235,22.92657895,0.606196078
74,7770,23.884,8.252,76.261,25.315,22.53441176,0.602309524
75,7830,23.88428571,8.253,76.59428571,25.395,22.0925641,0.601086957
76,7890,23.885,8.25375,76.79648649,25.475,21.68545455,0.600255814
77,7950,23.88533333,8.2546,76.80230769,25.55,21.36575758,0.600658537
78,8010,23.88666667,8.255666667,77.36738095,25.625,21.04121212,0.602673913
79,8070,23.89,8.2565,77.92911765,25.695,20.69410256,0.60197561
80,8130,23.894,8.2575,78.23228571,25.755,20.33129032,0.602295455
